attendance,purchase_rate,customers,purchase_amount,revenue,profit
124,0.548239,65,3.92,254.54,4.54
162,0.549100,85,5.12,435.59,185.59
155,0.301155,50,5.56,277.84,27.84
180,0.391388,75,5.21,390.67,140.67
161,0.602446,81,4.14,335.02,85.02
93,0.350926,32,5.85,187.35,-62.65
132,0.501425,60,3.45,206.95,-43.05
148,0.387364,63,4.16,262.27,12.27
120,0.326986,50,4.72,235.89,-14.11
170,0.301087,52,5.79,301.33,51.33
120,0.499825,56,5.55,311.02,61.02
121,0.691326,82,6.83,560.43,310.43
96,0.536060,53,6.24,330.62,80.62
144,0.347049,52,7.30,379.46,129.46
101,0.314454,35,4.86,170.08,-79.92
100,0.525784,56,6.35,355.73,105.73
124,0.571248,70,4.24,296.97,46.97
94,0.407352,36,4.13,148.75,-101.25
157,0.356937,51,4.94,252.05,2.05
129,0.699925,102,3.66,373.82,123.82
118,0.591839,75,4.75,356.08,106.08
91,0.536228,51,3.50,178.66,-71.34
172,0.304131,45,4.68,210.65,-39.35
111,0.566532,66,4.62,304.82,54.82
113,0.366093,46,6.22,286.10,36.10
85,0.457274,36,7.63,274.78,24.78
115,0.331061,38,5.67,215.42,-34.58
85,0.443062,44,3.24,142.49,-107.51
142,0.446286,67,3.64,243.57,-6.43
121,0.321287,41,6.04,247.73,-2.27
91,0.441363,43,4.16,179.09,-70.91
116,0.386508,39,3.70,144.29,-105.71
136,0.430294,48,5.20,249.78,-0.22
